"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Dominican Republic","DOM","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.74544","15.55069","18.07199","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.956125","18.935635","","","22.28509","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.43656","","","","20.17803","15.854015","","","","","","","",
"Europe & Central Asia","ECS","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.27497","25.400735","24.91938","23.738685","23.904325","24.43468","24.58628","23.86983","25.63828","24.1495","26.87704","24.54513","25.74607","31.87478","27.14179","25.75455","","","","","","","","",
"Ecuador","ECU","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.27051","43.25526","","52.67572","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Euro area","EMU","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.92329","26.984445","26.2307","25.19178","23.00727","23.03144","23.4954","23.86542","24.41366","26.80364","28.60976","27.99309","26.87704","27.750025","28.697965","31.87478","29.2699","27.60007","","","","","","","","",
"Eritrea","ERI","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245.24878","236.37998","","592.34362","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.62106","19.38165","20.18436","20.93246","21.35733","22.17697","22.15535","22.28554","23.01221","24.62767","26.80364","28.60976","27.99309","27.3279","23.84988","23.29205","22.98794","22.91741","21.81691","","","","","","","","",
"Estonia","EST","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.25692","31.30347","32.02581","","24.60233","24.50902","21.97225","17.71677","18.35466","","19.98312","21.50515","25.63828","23.18904","24.17478","20.40295","27.77545","31.87478","33.95498","36.92339","","","","","","","","",
"Ethiopia","ETH","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612.65126","","","","","","","","","","","","356.95402","291.54039","341.20294","339.00119","","266.22747","","","","","","","","","","",
"European Union","EUU","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.095675","30.64629","28.20551","27.1982","25.31716","24.91938","23.31321","23.466995","23.597585","24.58628","24.82162","26.617895","24.551625","26.399795","24.55553","26.27299","26.89935","27.748495","26.307935","","","","","","","","",
"Fragile and conflict affected situations","FCS","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.0179","37.27151","35.74196","35.85259","35.35128","34.62936","32.91852","32.03604","30.50613","31.10585","37.05012","36.80425","36.27448","36.01216","35.47931","35.79621","34.49292","33.93205","","","","","","","","",
"Fiji","FJI","Government expenditure per student, tertiary (% of GDP per capita)","SE.XPD.TERT.PC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.67258","","","","","","","","","","","","","","","","","","","","",
